@relation titanic_predicted

@attribute predictedclass {0,1}
@attribute class {0,1}
@attribute Pclass numeric
@attribute Sex numeric
@attribute Age numeric
@attribute SibSp numeric
@attribute Parch numeric
@attribute Fare numeric
@attribute familysize numeric
@attribute fareperperson numeric

@data
0,?,2,0,34,1,0,26,1,13
0,?,1,0,?,0,0,26,0,26
0,?,3,0,11.5,1,1,14.5,2,4.833333
0,?,2,0,61,0,0,12.35,0,12.35
1,?,2,0,8,0,2,32.5,2,10.833333
0,?,3,0,33,0,0,7.8542,0,7.8542
0,?,1,0,6,0,2,134.5,2,44.833333
1,?,3,1,18,0,0,7.775,0,7.775
0,?,2,0,23,0,0,10.5,0,10.5
0,?,3,1,?,0,0,8.1125,0,8.1125
1,?,3,1,?,0,0,15.5,0,15.5
1,?,3,0,0.33,0,2,14.4,2,4.8
0,?,1,0,47,1,0,227.525,1,113.7625
1,?,2,1,8,1,1,26,2,8.666667
0,?,2,0,25,0,0,10.5,0,10.5
0,?,1,0,?,0,0,25.7417,0,25.7417
1,?,3,1,35,0,0,7.75,0,7.75
0,?,2,0,24,0,0,10.5,0,10.5
1,?,1,1,33,0,0,27.7208,0,27.7208
0,?,3,0,25,0,0,7.8958,0,7.8958
0,?,3,0,32,0,0,22.525,0,22.525
0,?,3,0,?,0,0,7.05,0,7.05
0,?,2,0,17,0,0,73.5,0,73.5
1,?,2,1,60,1,0,26,1,13
0,?,3,1,38,4,2,7.775,6,1.110714
0,?,1,0,42,0,0,42.5,0,42.5
1,?,3,1,?,0,0,7.8792,0,7.8792
0,?,1,0,57,1,1,164.8667,2,54.955567
1,?,1,1,50,1,1,211.5,2,70.5
0,?,3,0,?,0,0,8.05,0,8.05
1,?,2,1,30,1,0,13.8583,1,6.92915
0,?,3,0,21,0,0,8.05,0,8.05
1,?,2,1,22,0,0,10.5,0,10.5
0,?,3,0,21,0,0,7.7958,0,7.7958
1,?,1,1,53,0,0,27.4458,0,27.4458
0,?,3,1,?,0,2,15.2458,2,5.081933
0,?,3,0,23,0,0,7.7958,0,7.7958
1,?,3,1,?,0,0,7.75,0,7.75
0,?,3,0,40.5,0,0,15.1,0,15.1
0,?,2,0,36,0,0,13,0,13
0,?,2,0,14,0,0,65,0,65
1,?,1,1,21,0,0,26.55,0,26.55
0,?,3,0,21,1,0,6.4958,1,3.2479
0,?,3,0,?,0,0,7.8792,0,7.8792
0,?,1,0,39,1,0,71.2833,1,35.64165
0,?,3,0,20,0,0,7.8542,0,7.8542
0,?,1,0,64,1,0,75.25,1,37.625
0,?,3,0,20,0,0,7.225,0,7.225
1,?,2,1,18,1,1,13,2,4.333333
1,?,1,1,48,1,0,106.425,1,53.2125
1,?,1,1,55,0,0,27.7208,0,27.7208
1,?,2,1,45,0,2,30,2,10
0,?,1,0,45,1,1,134.5,2,44.833333
0,?,3,0,?,0,0,7.8875,0,7.8875
0,?,3,0,?,1,2,23.45,3,5.8625
0,?,1,0,41,1,0,51.8625,1,25.93125
1,?,2,1,22,0,0,21,0,21
0,?,2,0,42,1,1,32.5,2,10.833333
1,?,2,1,29,1,0,26,1,13
1,?,3,1,?,1,0,14.4542,1,7.2271
1,?,2,1,0.92,1,2,27.75,3,6.9375
0,?,3,0,20,0,0,7.925,0,7.925
0,?,1,0,27,1,0,136.7792,1,68.3896
0,?,3,0,24,0,0,9.325,0,9.325
0,?,3,0,32.5,0,0,9.5,0,9.5
0,?,3,0,?,0,0,7.55,0,7.55
0,?,3,0,?,0,0,7.75,0,7.75
0,?,3,0,28,0,0,8.05,0,8.05
1,?,2,1,19,0,0,13,0,13
0,?,3,0,21,0,0,7.775,0,7.775
0,?,3,0,36.5,1,0,17.4,1,8.7
0,?,3,0,21,0,0,7.8542,0,7.8542
1,?,2,1,29,0,2,23,2,7.666667
1,?,3,1,1,1,1,12.1833,2,4.0611
0,?,2,0,30,0,0,12.7375,0,12.7375
0,?,3,0,?,0,0,7.8958,0,7.8958
0,?,1,0,?,0,0,0,0,0
0,?,3,0,?,0,0,7.55,0,7.55
0,?,3,1,?,0,0,8.05,0,8.05
0,?,3,0,17,0,0,8.6625,0,8.6625
0,?,1,0,46,0,0,75.2417,0,75.2417
0,?,3,0,?,0,0,7.75,0,7.75
1,?,1,1,26,1,0,136.7792,1,68.3896
1,?,3,1,?,1,0,15.5,1,7.75
0,?,3,0,?,0,0,7.225,0,7.225
1,?,2,1,20,1,0,26,1,13
0,?,2,0,28,0,0,10.5,0,10.5
0,?,2,0,40,1,0,26,1,13
0,?,2,0,30,1,0,21,1,10.5
0,?,2,0,22,0,0,10.5,0,10.5
0,?,3,1,23,0,0,8.6625,0,8.6625
1,?,3,0,0.75,1,1,13.775,2,4.591667
1,?,3,1,?,0,0,7.75,0,7.75
0,?,3,1,9,1,1,15.2458,2,5.081933
1,?,3,1,2,1,1,20.2125,2,6.7375
0,?,3,0,36,0,0,7.25,0,7.25
0,?,3,0,?,0,0,7.25,0,7.25
0,?,1,0,24,1,0,82.2667,1,41.13335
0,?,3,0,?,0,0,7.2292,0,7.2292
0,?,3,0,?,0,0,8.05,0,8.05
0,?,1,0,?,0,0,39.6,0,39.6
1,?,3,1,30,0,0,6.95,0,6.95
0,?,3,0,?,0,0,7.2292,0,7.2292
0,?,1,0,53,1,1,81.8583,2,27.2861
0,?,3,0,36,0,0,9.5,0,9.5
0,?,3,0,26,0,0,7.8958,0,7.8958
1,?,2,1,1,1,2,41.5792,3,10.3948
0,?,3,0,?,2,0,21.6792,2,7.2264
0,?,1,0,30,0,0,45.5,0,45.5
0,?,3,0,29,0,0,7.8542,0,7.8542
0,?,3,0,32,0,0,7.775,0,7.775
0,?,2,0,?,0,0,15.0458,0,15.0458
0,?,2,0,43,0,1,21,1,10.5
0,?,3,0,24,0,0,8.6625,0,8.6625
1,?,3,1,?,0,0,7.75,0,7.75
1,?,1,1,64,1,1,26.55,2,8.85
0,?,1,0,30,1,2,151.55,3,37.8875
1,?,3,0,0.83,0,1,9.35,1,4.675
0,?,1,0,55,1,1,93.5,2,31.166667
0,?,3,1,45,1,0,14.1083,1,7.05415
0,?,3,0,18,0,0,8.6625,0,8.6625
0,?,3,0,22,0,0,7.225,0,7.225
0,?,3,0,?,0,0,7.575,0,7.575
1,?,3,1,37,0,0,7.75,0,7.75
1,?,1,1,55,0,0,135.6333,0,135.6333
1,?,3,1,17,0,0,7.7333,0,7.7333
0,?,1,0,57,1,0,146.5208,1,73.2604
0,?,2,0,19,0,0,10.5,0,10.5
0,?,3,0,27,0,0,7.8542,0,7.8542
0,?,2,0,22,2,0,31.5,2,10.5
0,?,3,0,26,0,0,7.775,0,7.775
0,?,3,0,25,0,0,7.2292,0,7.2292
0,?,2,0,26,0,0,13,0,13
1,?,1,0,33,0,0,26.55,0,26.55
1,?,1,1,39,0,0,211.3375,0,211.3375
0,?,3,0,23,0,0,7.05,0,7.05
1,?,2,1,12,2,1,39,3,9.75
0,?,1,0,46,0,0,79.2,0,79.2
0,?,2,0,29,1,0,26,1,13
0,?,2,0,21,0,0,13,0,13
1,?,2,1,48,0,2,36.75,2,12.25
0,?,1,0,39,0,0,29.7,0,29.7
0,?,3,0,?,0,0,7.225,0,7.225
1,?,3,1,19,1,1,15.7417,2,5.247233
0,?,3,0,27,0,0,7.8958,0,7.8958
0,?,1,0,30,0,0,26,0,26
0,?,2,0,32,0,0,13,0,13
0,?,3,0,39,0,2,7.2292,2,2.409733
0,?,2,0,25,0,0,31.5,0,31.5
0,?,3,0,?,0,0,7.2292,0,7.2292
0,?,2,0,18,0,0,10.5,0,10.5
0,?,3,0,32,0,0,7.5792,0,7.5792
0,?,3,0,?,1,9,69.55,10,6.322727
1,?,1,1,58,0,1,512.3292,1,256.1646
0,?,3,0,?,1,1,14.5,2,4.833333
1,?,3,1,16,0,0,7.65,0,7.65
0,?,2,0,26,0,0,13,0,13
1,?,3,1,38,0,0,7.2292,0,7.2292
0,?,2,0,24,0,0,13.5,0,13.5
1,?,2,1,31,0,0,21,0,21
1,?,1,1,45,0,1,63.3583,1,31.67915
0,?,2,0,25,0,0,10.5,0,10.5
0,?,2,0,18,0,0,73.5,0,73.5
0,?,2,0,49,1,2,65,3,16.25
1,?,3,1,0.17,1,2,20.575,3,5.14375
0,?,1,0,50,0,0,26,0,26
1,?,1,1,59,2,0,51.4792,2,17.159733
0,?,3,0,?,0,0,7.8792,0,7.8792
0,?,3,0,?,0,0,7.75,0,7.75
1,?,3,1,30,1,0,15.55,1,7.775
0,?,3,0,14.5,8,2,69.55,10,6.322727
1,?,2,1,24,1,1,37.0042,2,12.334733
1,?,2,1,31,0,0,21,0,21
0,?,3,0,27,0,0,8.6625,0,8.6625
1,?,1,1,25,1,0,55.4417,1,27.72085
0,?,3,1,?,1,9,69.55,10,6.322727
0,?,3,0,?,1,0,14.4583,1,7.22915
0,?,3,1,22,0,0,39.6875,0,39.6875
1,?,1,1,45,0,1,59.4,1,29.7
0,?,2,0,29,0,0,13.8583,0,13.8583
0,?,2,0,21,1,0,11.5,1,5.75
1,?,1,1,31,0,0,134.5,0,134.5
0,?,1,0,49,0,0,0,0,0
0,?,2,0,44,0,0,13,0,13
1,?,1,1,54,1,1,81.8583,2,27.2861
1,?,1,1,45,0,0,262.375,0,262.375
0,?,3,1,22,2,0,8.6625,2,2.8875
0,?,2,0,21,0,0,11.5,0,11.5
0,?,1,0,55,0,0,50,0,50
0,?,3,0,5,4,2,31.3875,6,4.483929
0,?,3,0,?,0,0,7.75,0,7.75
0,?,3,0,26,0,0,7.8792,0,7.8792
0,?,3,1,?,0,0,14.5,0,14.5
1,?,3,1,19,1,0,16.1,1,8.05
0,?,2,0,?,0,0,12.875,0,12.875
1,?,2,1,24,1,2,65,3,16.25
0,?,3,0,24,0,0,7.775,0,7.775
0,?,2,0,57,0,0,13,0,13
0,?,3,0,21,0,0,7.75,0,7.75
0,?,3,0,6,3,1,21.075,4,4.215
0,?,1,0,23,0,0,93.5,0,93.5
1,?,1,1,51,0,1,39.4,1,19.7
0,?,3,0,13,0,2,20.25,2,6.75
0,?,2,0,47,0,0,10.5,0,10.5
0,?,3,0,29,3,1,22.025,4,4.405
1,?,1,1,18,1,0,60,1,30
0,?,3,0,24,0,0,7.25,0,7.25
1,?,1,1,48,1,1,79.2,2,26.4
0,?,3,0,22,0,0,7.775,0,7.775
0,?,3,0,31,0,0,7.7333,0,7.7333
1,?,1,1,30,0,0,164.8667,0,164.8667
0,?,2,0,38,1,0,21,1,10.5
1,?,1,1,22,0,1,59.4,1,29.7
0,?,1,0,17,0,0,47.1,0,47.1
0,?,1,0,43,1,0,27.7208,1,13.8604
0,?,2,0,20,0,0,13.8625,0,13.8625
0,?,2,0,23,1,0,10.5,1,5.25
0,?,1,0,50,1,1,211.5,2,70.5
1,?,3,1,?,0,0,7.7208,0,7.7208
1,?,3,1,3,1,1,13.775,2,4.591667
1,?,3,1,?,0,0,7.75,0,7.75
1,?,1,1,37,1,0,90,1,45
1,?,3,1,28,0,0,7.775,0,7.775
0,?,3,0,?,0,0,8.05,0,8.05
1,?,1,1,39,0,0,108.9,0,108.9
0,?,3,0,38.5,0,0,7.25,0,7.25
0,?,3,0,?,0,0,8.05,0,8.05
0,?,3,0,?,1,1,22.3583,2,7.452767
