@RELATION titanic

@ATTRIBUTE class {0,1}
@ATTRIBUTE Pclass {1,2,3}
@ATTRIBUTE Sex {0,1}
@ATTRIBUTE Age NUMERIC
@ATTRIBUTE SibSp NUMERIC
@ATTRIBUTE Parch NUMERIC
@ATTRIBUTE Fare NUMERIC
@ATTRIBUTE embarked {C,Q,S}
@ATTRIBUTE familysize NUMERIC
@ATTRIBUTE fareperperson NUMERIC

@DATA
0,3,0,16,1,3,34.375,S,4,6.875
0,3,0,?,0,0,8.05,S,0,8.05
1,1,1,23,3,2,263,S,5,43.8333333333
0,3,0,24,0,0,8.05,S,0,8.05
0,3,0,29,0,0,8.05,S,0,8.05
0,3,0,20,0,0,7.8542,S,0,7.8542
0,1,0,46,1,0,61.175,S,1,30.5875
0,3,0,26,1,2,20.575,S,3,5.14375
0,3,0,59,0,0,7.25,S,0,7.25
0,3,0,?,0,0,8.05,S,0,8.05
0,1,0,71,0,0,34.6542,C,0,34.6542
1,1,0,23,0,1,63.3583,C,1,31.67915
1,2,1,34,0,1,23,S,1,11.5
0,2,0,34,1,0,26,S,1,13.0
0,3,1,28,0,0,7.8958,S,0,7.8958
0,3,0,?,0,0,7.8958,S,0,7.8958
0,1,0,21,0,1,77.2875,S,1,38.64375
0,3,0,33,0,0,8.6542,S,0,8.6542
0,3,0,37,2,0,7.925,S,2,2.64166666667
0,3,0,28,0,0,7.8958,S,0,7.8958
1,3,1,21,0,0,7.65,S,0,7.65
1,3,0,?,0,0,7.775,S,0,7.775
0,3,0,38,0,0,7.8958,S,0,7.8958
1,3,1,?,1,0,24.15,Q,1,12.075
0,1,0,47,0,0,52,S,0,52.0
0,3,1,14.5,1,0,14.4542,C,1,7.2271
0,3,0,22,0,0,8.05,S,0,8.05
0,3,1,20,1,0,9.825,S,1,4.9125
0,3,1,17,0,0,14.4583,C,0,14.4583
0,3,0,21,0,0,7.925,S,0,7.925
0,3,0,70.5,0,0,7.75,Q,0,7.75
0,2,0,29,1,0,21,S,1,10.5
0,1,0,24,0,1,247.5208,C,1,123.7604
0,3,1,2,4,2,31.275,S,6,4.46785714286
0,2,0,21,2,0,73.5,S,2,24.5
0,3,0,?,0,0,8.05,S,0,8.05
0,2,0,32.5,1,0,30.0708,C,1,15.0354
1,2,1,32.5,0,0,13,S,0,13.0
0,1,0,54,0,1,77.2875,S,1,38.64375
1,3,0,12,1,0,11.2417,C,1,5.62085
0,3,0,?,0,0,7.75,Q,0,7.75
1,3,0,24,0,0,7.1417,S,0,7.1417
1,3,1,?,1,1,22.3583,C,2,7.45276666667
0,3,0,45,0,0,6.975,S,0,6.975
0,3,0,33,0,0,7.8958,C,0,7.8958
0,3,0,20,0,0,7.05,S,0,7.05
0,3,1,47,1,0,14.5,S,1,7.25
1,2,1,29,1,0,26,S,1,13.0
0,2,0,25,0,0,13,S,0,13.0
0,2,0,23,0,0,15.0458,C,0,15.0458
1,1,1,19,0,2,26.2833,S,2,8.7611
0,1,0,37,1,0,53.1,S,1,26.55
0,3,0,16,0,0,9.2167,S,0,9.2167
0,1,0,24,0,0,79.2,C,0,79.2
0,3,1,?,0,2,15.2458,C,2,5.08193333333
1,3,1,22,0,0,7.75,S,0,7.75
1,3,1,24,1,0,15.85,S,1,7.925
0,3,0,19,0,0,6.75,Q,0,6.75
0,2,0,18,0,0,11.5,S,0,11.5
0,2,0,19,1,1,36.75,S,2,12.25
1,3,0,27,0,0,7.7958,S,0,7.7958
0,3,1,9,2,2,34.375,S,4,6.875
0,2,0,36.5,0,2,26,S,2,8.66666666667
0,2,0,42,0,0,13,S,0,13.0
0,2,0,51,0,0,12.525,S,0,12.525
1,1,1,22,1,0,66.6,S,1,33.3
0,3,0,55.5,0,0,8.05,S,0,8.05
0,3,0,40.5,0,2,14.5,S,2,4.83333333333
0,3,0,?,0,0,7.3125,S,0,7.3125
0,1,0,51,0,1,61.3792,C,1,30.6896
1,3,1,16,0,0,7.7333,Q,0,7.7333
0,3,0,30,0,0,8.05,S,0,8.05
0,3,0,?,0,0,8.6625,S,0,8.6625
0,3,0,?,8,2,69.55,S,10,6.32272727273
0,3,0,44,0,1,16.1,S,1,8.05
1,2,1,40,0,0,15.75,S,0,15.75
0,3,0,26,0,0,7.775,S,0,7.775
0,3,0,17,0,0,8.6625,S,0,8.6625
0,3,0,1,4,1,39.6875,S,5,6.61458333333
1,3,0,9,0,2,20.525,S,2,6.84166666667
1,1,1,?,0,1,55,S,1,27.5
0,3,1,45,1,4,27.9,S,5,4.65
0,1,0,?,0,0,25.925,S,0,25.925
0,3,0,28,0,0,56.4958,S,0,56.4958
0,1,0,61,0,0,33.5,S,0,33.5
0,3,0,4,4,1,29.125,Q,5,4.85416666667
1,3,1,1,1,1,11.1333,S,2,3.7111
0,3,0,21,0,0,7.925,S,0,7.925
0,1,0,56,0,0,30.6958,C,0,30.6958
0,3,0,18,1,1,7.8542,S,2,2.61806666667
0,3,0,?,3,1,25.4667,S,4,5.09334
0,1,1,50,0,0,28.7125,C,0,28.7125
0,2,0,30,0,0,13,S,0,13.0
0,3,0,36,0,0,0,S,0,0.0
0,3,1,?,8,2,69.55,S,10,6.32272727273
0,2,0,?,0,0,15.05,C,0,15.05
0,3,0,9,4,2,31.3875,S,6,4.48392857143
1,2,0,1,2,1,39,S,3,9.75
1,3,1,4,0,2,22.025,S,2,7.34166666667
0,1,0,?,0,0,50,S,0,50.0
1,3,1,?,1,0,15.5,Q,1,7.75
1,1,0,45,0,0,26.55,S,0,26.55
0,3,0,40,1,1,15.5,Q,2,5.16666666667
0,3,0,36,0,0,7.8958,S,0,7.8958
1,2,1,32,0,0,13,S,0,13.0
0,2,0,19,0,0,13,S,0,13.0
1,3,1,19,1,0,7.8542,S,1,3.9271
1,2,0,3,1,1,26,S,2,8.66666666667
1,1,1,44,0,0,27.7208,C,0,27.7208
1,1,1,58,0,0,146.5208,C,0,146.5208
0,3,0,?,0,0,7.75,Q,0,7.75
0,3,0,42,0,1,8.4042,S,1,4.2021
1,3,1,?,0,0,7.75,Q,0,7.75
0,2,1,24,0,0,13,S,0,13.0
0,3,0,28,0,0,9.5,S,0,9.5
0,3,0,?,8,2,69.55,S,10,6.32272727273
0,3,0,34,0,0,6.4958,S,0,6.4958
0,3,0,45.5,0,0,7.225,C,0,7.225
1,3,0,18,0,0,8.05,S,0,8.05
0,3,1,2,0,1,10.4625,S,1,5.23125
0,3,0,32,1,0,15.85,S,1,7.925
1,3,0,26,0,0,18.7875,C,0,18.7875
1,3,1,16,0,0,7.75,Q,0,7.75
1,1,0,40,0,0,31,C,0,31.0
0,3,0,24,0,0,7.05,S,0,7.05
1,2,1,35,0,0,21,S,0,21.0
0,3,0,22,0,0,7.25,S,0,7.25
0,2,0,30,0,0,13,S,0,13.0
0,3,0,?,1,0,7.75,Q,1,3.875
1,1,1,31,1,0,113.275,C,1,56.6375
1,3,1,27,0,0,7.925,S,0,7.925
0,2,0,42,1,0,27,S,1,13.5
1,1,1,32,0,0,76.2917,C,0,76.2917
0,2,0,30,0,0,10.5,S,0,10.5
1,3,0,16,0,0,8.05,S,0,8.05
0,2,0,27,0,0,13,S,0,13.0
0,3,0,51,0,0,8.05,S,0,8.05
0,3,0,?,0,0,7.8958,S,0,7.8958
1,1,0,38,1,0,90,S,1,45.0
0,3,0,22,0,0,9.35,S,0,9.35
1,2,0,19,0,0,10.5,S,0,10.5
0,3,0,20.5,0,0,7.25,S,0,7.25
0,2,0,18,0,0,13,S,0,13.0
0,3,1,?,3,1,25.4667,S,4,5.09334
1,1,1,35,1,0,83.475,S,1,41.7375
0,3,0,29,0,0,7.775,S,0,7.775
0,2,0,59,0,0,13.5,S,0,13.5
1,3,1,5,4,2,31.3875,S,6,4.48392857143
0,2,0,24,0,0,10.5,S,0,10.5
0,3,1,?,0,0,7.55,S,0,7.55
0,2,0,44,1,0,26,S,1,13.0
1,2,1,8,0,2,26.25,S,2,8.75
0,2,0,19,0,0,10.5,S,0,10.5
0,2,0,33,0,0,12.275,S,0,12.275
0,3,1,?,1,0,14.4542,C,1,7.2271
1,3,1,?,1,0,15.5,Q,1,7.75
0,2,0,29,0,0,10.5,S,0,10.5
0,3,0,22,0,0,7.125,S,0,7.125
0,3,0,30,0,0,7.225,C,0,7.225
0,1,0,44,2,0,90,Q,2,30.0
0,3,1,25,0,0,7.775,S,0,7.775
1,2,1,24,0,2,14.5,S,2,4.83333333333
1,1,0,37,1,1,52.5542,S,2,17.5180666667
0,2,0,54,1,0,26,S,1,13.0
0,3,0,?,0,0,7.25,S,0,7.25
0,3,1,29,1,1,10.4625,S,2,3.4875
0,1,0,62,0,0,26.55,S,0,26.55
0,3,0,30,1,0,16.1,S,1,8.05
0,3,1,41,0,2,20.2125,S,2,6.7375
1,3,1,29,0,2,15.2458,C,2,5.08193333333
1,1,1,?,0,0,79.2,C,0,79.2
1,1,1,30,0,0,86.5,S,0,86.5
1,1,1,35,0,0,512.3292,C,0,512.3292
1,2,1,50,0,1,26,S,1,13.0
0,3,0,?,0,0,7.75,Q,0,7.75
1,3,0,3,4,2,31.3875,S,6,4.48392857143
0,1,0,52,1,1,79.65,S,2,26.55
0,1,0,40,0,0,0,S,0,0.0
0,3,1,?,0,0,7.75,Q,0,7.75
0,2,0,36,0,0,10.5,S,0,10.5
0,3,0,16,4,1,39.6875,S,5,6.61458333333
1,3,0,25,1,0,7.775,S,1,3.8875
1,1,1,58,0,1,153.4625,S,1,76.73125
1,1,1,35,0,0,135.6333,S,0,135.6333
0,1,0,?,0,0,31,S,0,31.0
1,3,0,25,0,0,0,S,0,0.0
1,2,1,41,0,1,19.5,S,1,9.75
0,1,0,37,0,1,29.7,C,1,14.85
1,3,1,?,0,0,7.75,Q,0,7.75
1,1,1,63,1,0,77.9583,S,1,38.97915
0,3,1,45,0,0,7.75,S,0,7.75
0,2,0,?,0,0,0,S,0,0.0
0,3,0,7,4,1,29.125,Q,5,4.85416666667
1,3,1,35,1,1,20.25,S,2,6.75
0,3,0,65,0,0,7.75,Q,0,7.75
0,3,0,28,0,0,7.8542,S,0,7.8542
0,3,0,16,0,0,9.5,S,0,9.5
1,3,0,19,0,0,8.05,S,0,8.05
0,1,0,?,0,0,26,S,0,26.0
0,3,0,33,0,0,8.6625,C,0,8.6625
1,3,0,30,0,0,9.5,S,0,9.5
0,3,0,22,0,0,7.8958,S,0,7.8958
1,2,0,42,0,0,13,S,0,13.0
1,3,1,22,0,0,7.75,Q,0,7.75
1,1,1,26,0,0,78.85,S,0,78.85
1,1,1,19,1,0,91.0792,C,1,45.5396
0,2,0,36,0,0,12.875,C,0,12.875
0,3,1,24,0,0,8.85,S,0,8.85
0,3,0,24,0,0,7.8958,S,0,7.8958
0,1,0,?,0,0,27.7208,C,0,27.7208
0,3,0,23.5,0,0,7.2292,C,0,7.2292
0,1,1,2,1,2,151.55,S,3,37.8875
1,1,0,?,0,0,30.5,S,0,30.5
1,1,1,50,0,1,247.5208,C,1,123.7604
1,3,1,?,0,0,7.75,Q,0,7.75
1,3,0,?,2,0,23.25,Q,2,7.75
0,3,0,19,0,0,0,S,0,0.0
1,2,1,?,0,0,12.35,Q,0,12.35
0,3,0,?,0,0,8.05,S,0,8.05
1,1,0,0.92,1,2,151.55,S,3,37.8875
1,1,1,?,0,0,110.8833,C,0,110.8833
1,1,1,17,1,0,108.9,C,1,54.45
0,2,0,30,1,0,24,C,1,12.0
1,1,1,30,0,0,56.9292,C,0,56.9292
1,1,1,24,0,0,83.1583,C,0,83.1583
1,1,1,18,2,2,262.375,C,4,52.475
0,2,1,26,1,1,26,S,2,8.66666666667
0,3,0,28,0,0,7.8958,S,0,7.8958
0,2,0,43,1,1,26.25,S,2,8.75
1,3,1,26,0,0,7.8542,S,0,7.8542
1,2,1,24,1,0,26,S,1,13.0
0,2,0,54,0,0,14,S,0,14.0
1,1,1,31,0,2,164.8667,S,2,54.9555666667
1,1,1,40,1,1,134.5,C,2,44.8333333333
0,3,0,22,0,0,7.25,S,0,7.25
0,3,0,27,0,0,7.8958,S,0,7.8958
1,2,1,30,0,0,12.35,Q,0,12.35
1,2,1,22,1,1,29,S,2,9.66666666667
0,3,0,?,8,2,69.55,S,10,6.32272727273
1,1,1,36,0,0,135.6333,C,0,135.6333
0,3,0,61,0,0,6.2375,S,0,6.2375
1,2,1,36,0,0,13,S,0,13.0
1,3,1,31,1,1,20.525,S,2,6.84166666667
1,1,1,16,0,1,57.9792,C,1,28.9896
1,3,1,?,2,0,23.25,Q,2,7.75
0,1,0,45.5,0,0,28.5,S,0,28.5
0,1,0,38,0,1,153.4625,S,1,76.73125
0,3,0,16,2,0,18,S,2,6.0
1,1,1,?,1,0,133.65,S,1,66.825
0,3,0,?,0,0,7.8958,S,0,7.8958
0,1,0,29,1,0,66.6,S,1,33.3
1,1,1,41,0,0,134.5,C,0,134.5
1,3,0,45,0,0,8.05,S,0,8.05
0,1,0,45,0,0,35.5,S,0,35.5
1,2,0,2,1,1,26,S,2,8.66666666667
1,1,1,24,3,2,263,S,5,43.8333333333
0,2,0,28,0,0,13,S,0,13.0
0,2,0,25,0,0,13,S,0,13.0
0,2,0,36,0,0,13,S,0,13.0
1,2,1,24,0,0,13,S,0,13.0
1,2,1,40,0,0,13,S,0,13.0
1,3,1,?,1,0,16.1,S,1,8.05
1,3,0,3,1,1,15.9,S,2,5.3
0,3,0,42,0,0,8.6625,S,0,8.6625
0,3,0,23,0,0,9.225,S,0,9.225
0,1,0,?,0,0,35,S,0,35.0
0,3,0,15,1,1,7.2292,C,2,2.40973333333
0,3,0,25,1,0,17.8,S,1,8.9
0,3,0,?,0,0,7.225,C,0,7.225
0,3,0,28,0,0,9.5,S,0,9.5
1,1,1,22,0,1,55,S,1,27.5
0,2,1,38,0,0,13,S,0,13.0
1,3,1,?,0,0,7.8792,Q,0,7.8792
1,3,1,?,0,0,7.8792,Q,0,7.8792
0,3,0,40,1,4,27.9,S,5,4.65
0,2,0,29,1,0,27.7208,C,1,13.8604
0,3,1,45,0,1,14.4542,C,1,7.2271
0,3,0,35,0,0,7.05,S,0,7.05
0,3,0,?,1,0,15.5,Q,1,7.75
0,3,0,30,0,0,7.25,S,0,7.25
1,1,1,60,1,0,75.25,C,1,37.625
1,3,1,?,0,0,7.2292,C,0,7.2292
1,3,1,?,0,0,7.75,Q,0,7.75
1,1,1,24,0,0,69.3,C,0,69.3
1,1,0,25,1,0,55.4417,C,1,27.72085
0,3,0,18,1,0,6.4958,S,1,3.2479
0,3,0,19,0,0,8.05,S,0,8.05
0,1,0,22,0,0,135.6333,C,0,135.6333
0,3,1,3,3,1,21.075,S,4,4.215
1,1,1,?,1,0,82.1708,C,1,41.0854
1,3,1,22,0,0,7.25,S,0,7.25
0,1,0,27,0,2,211.5,C,2,70.5
0,3,0,20,0,0,4.0125,C,0,4.0125
0,3,0,19,0,0,7.775,S,0,7.775
1,1,1,42,0,0,227.525,C,0,227.525
1,3,1,1,0,2,15.7417,C,2,5.24723333333
0,3,0,32,0,0,7.925,S,0,7.925
1,1,1,35,1,0,52,S,1,26.0
0,3,0,?,0,0,7.8958,S,0,7.8958
0,2,0,18,0,0,73.5,S,0,73.5
0,3,0,1,5,2,46.9,S,7,5.8625
1,2,1,36,0,0,13,S,0,13.0
0,3,0,?,0,0,7.7292,Q,0,7.7292
1,2,1,17,0,0,12,C,0,12.0
1,1,0,36,1,2,120,S,3,30.0
1,3,0,21,0,0,7.7958,S,0,7.7958
0,3,0,28,2,0,7.925,S,2,2.64166666667
1,1,1,23,1,0,113.275,C,1,56.6375
1,3,1,24,0,2,16.7,S,2,5.56666666667
0,3,0,22,0,0,7.7958,S,0,7.7958
0,3,1,31,0,0,7.8542,S,0,7.8542
0,2,0,46,0,0,26,S,0,26.0
0,2,0,23,0,0,10.5,S,0,10.5
1,2,1,28,0,0,12.65,S,0,12.65
1,3,0,39,0,0,7.925,S,0,7.925
0,3,0,26,0,0,8.05,S,0,8.05
0,3,1,21,1,0,9.825,S,1,4.9125
0,3,0,28,1,0,15.85,S,1,7.925
0,3,1,20,0,0,8.6625,S,0,8.6625
0,2,0,34,1,0,21,S,1,10.5
0,3,0,51,0,0,7.75,S,0,7.75
1,2,0,3,1,1,18.75,S,2,6.25
0,3,0,21,0,0,7.775,S,0,7.775
0,3,1,?,3,1,25.4667,S,4,5.09334
0,3,0,?,0,0,7.8958,S,0,7.8958
0,3,0,?,0,0,6.8583,Q,0,6.8583
1,1,1,33,1,0,90,Q,1,45.0
0,2,0,?,0,0,0,S,0,0.0
1,3,0,44,0,0,7.925,S,0,7.925
0,3,1,?,0,0,8.05,S,0,8.05
1,2,1,34,1,1,32.5,S,2,10.8333333333
1,2,1,18,0,2,13,S,2,4.33333333333
0,2,0,30,0,0,13,S,0,13.0
0,3,1,10,0,2,24.15,S,2,8.05
0,3,0,?,0,0,7.8958,C,0,7.8958
0,3,0,21,0,0,7.7333,Q,0,7.7333
0,3,0,29,0,0,7.875,S,0,7.875
0,3,1,28,1,1,14.4,S,2,4.8
0,3,0,18,1,1,20.2125,S,2,6.7375
0,3,0,?,0,0,7.25,S,0,7.25
1,2,1,28,1,0,26,S,1,13.0
1,2,1,19,0,0,26,S,0,26.0
0,3,0,?,0,0,7.75,Q,0,7.75
1,3,0,32,0,0,8.05,S,0,8.05
1,1,0,28,0,0,26.55,S,0,26.55
1,3,1,?,1,0,16.1,S,1,8.05
1,2,1,42,1,0,26,S,1,13.0
0,3,0,17,0,0,7.125,S,0,7.125
0,1,0,50,1,0,55.9,S,1,27.95
1,1,1,14,1,2,120,S,3,30.0
0,3,1,21,2,2,34.375,S,4,6.875
1,2,1,24,2,3,18.75,S,5,3.125
0,1,0,64,1,4,263,S,5,43.8333333333
0,2,0,31,0,0,10.5,S,0,10.5
1,2,1,45,1,1,26.25,S,2,8.75
0,3,0,20,0,0,9.5,S,0,9.5
0,3,0,25,1,0,7.775,S,1,3.8875
1,2,1,28,0,0,13,S,0,13.0
1,3,0,?,0,0,8.1125,S,0,8.1125
1,1,0,4,0,2,81.8583,S,2,27.2861
1,2,1,13,0,1,19.5,S,1,9.75
1,1,0,34,0,0,26.55,S,0,26.55
1,3,1,5,2,1,19.2583,C,3,4.814575
1,1,0,52,0,0,30.5,S,0,30.5
0,2,0,36,1,2,27.75,S,3,6.9375
0,3,0,?,1,0,19.9667,S,1,9.98335
0,1,0,30,0,0,27.75,C,0,27.75
1,1,0,49,1,0,89.1042,C,1,44.5521
0,3,0,?,0,0,8.05,S,0,8.05
1,3,0,29,0,0,7.8958,C,0,7.8958
0,1,0,65,0,0,26.55,S,0,26.55
1,1,1,?,1,0,51.8625,S,1,25.93125
1,2,1,50,0,0,10.5,S,0,10.5
0,3,0,?,0,0,7.75,Q,0,7.75
1,1,0,48,0,0,26.55,S,0,26.55
0,3,0,34,0,0,8.05,S,0,8.05
0,1,0,47,0,0,38.5,S,0,38.5
0,2,0,48,0,0,13,S,0,13.0
0,3,0,?,0,0,8.05,S,0,8.05
0,3,0,38,0,0,7.05,S,0,7.05
0,2,0,?,0,0,0,S,0,0.0
0,1,0,56,0,0,26.55,S,0,26.55
0,3,0,?,0,0,7.725,Q,0,7.725
1,3,1,0.75,2,1,19.2583,C,3,4.814575
0,3,0,?,0,0,7.25,S,0,7.25
0,3,0,38,0,0,8.6625,S,0,8.6625
1,2,1,33,1,2,27.75,S,3,6.9375
1,2,1,23,0,0,13.7917,C,0,13.7917
0,3,1,22,0,0,9.8375,S,0,9.8375
0,1,0,?,0,0,52,S,0,52.0
0,2,0,34,1,0,21,S,1,10.5
0,3,0,29,1,0,7.0458,S,1,3.5229
0,3,0,22,0,0,7.5208,S,0,7.5208
1,3,1,2,0,1,12.2875,S,1,6.14375
0,3,0,9,5,2,46.9,S,7,5.8625
0,2,0,?,0,0,0,S,0,0.0
0,3,0,50,0,0,8.05,S,0,8.05
1,3,1,63,0,0,9.5875,S,0,9.5875
1,1,0,25,1,0,91.0792,C,1,45.5396
0,3,1,?,3,1,25.4667,S,4,5.09334
1,1,1,35,1,0,90,S,1,45.0
0,1,0,58,0,0,29.7,C,0,29.7
0,3,0,30,0,0,8.05,S,0,8.05
1,3,0,9,1,1,15.9,S,2,5.3
0,3,0,?,1,0,19.9667,S,1,9.98335
0,3,0,21,0,0,7.25,S,0,7.25
0,1,0,55,0,0,30.5,S,0,30.5
0,1,0,71,0,0,49.5042,C,0,49.5042
0,3,0,21,0,0,8.05,S,0,8.05
0,3,0,?,0,0,14.4583,C,0,14.4583
1,1,1,54,1,0,78.2667,C,1,39.13335
0,3,0,?,0,0,15.1,S,0,15.1
0,1,1,25,1,2,151.55,S,3,37.8875
0,3,0,24,0,0,7.7958,S,0,7.7958
0,3,0,17,0,0,8.6625,S,0,8.6625
0,3,1,21,0,0,7.75,Q,0,7.75
0,3,1,?,0,0,7.6292,Q,0,7.6292
0,3,1,37,0,0,9.5875,S,0,9.5875
1,1,1,16,0,0,86.5,S,0,86.5
0,1,0,18,1,0,108.9,C,1,54.45
1,2,1,33,0,2,26,S,2,8.66666666667
1,1,0,?,0,0,26.55,S,0,26.55
0,3,0,28,0,0,22.525,S,0,22.525
1,3,0,26,0,0,56.4958,S,0,56.4958
1,3,0,29,0,0,7.75,Q,0,7.75
0,3,0,?,0,0,8.05,S,0,8.05
1,1,0,36,0,0,26.2875,S,0,26.2875
1,1,1,54,1,0,59.4,C,1,29.7
0,3,0,24,0,0,7.4958,S,0,7.4958
0,1,0,47,0,0,34.0208,S,0,34.0208
1,2,1,34,0,0,10.5,S,0,10.5
0,3,0,?,0,0,24.15,Q,0,24.15
1,2,1,36,1,0,26,S,1,13.0
0,3,0,32,0,0,7.8958,S,0,7.8958
1,1,1,30,0,0,93.5,S,0,93.5
0,3,0,22,0,0,7.8958,S,0,7.8958
0,3,0,?,0,0,7.225,C,0,7.225
1,1,1,44,0,1,57.9792,C,1,28.9896
0,3,0,?,0,0,7.2292,C,0,7.2292
0,3,0,40.5,0,0,7.75,Q,0,7.75
1,2,1,50,0,0,10.5,S,0,10.5
0,1,0,?,0,0,221.7792,S,0,221.7792
0,3,0,39,0,0,7.925,S,0,7.925
0,2,0,23,2,1,11.5,S,3,2.875
1,2,1,2,1,1,26,S,2,8.66666666667
0,3,0,?,0,0,7.2292,C,0,7.2292
0,3,0,17,1,1,7.2292,C,2,2.40973333333
1,3,1,?,0,2,22.3583,C,2,7.45276666667
0,3,1,30,0,0,8.6625,S,0,8.6625
1,2,1,7,0,2,26.25,S,2,8.75
0,1,0,45,0,0,26.55,S,0,26.55
1,1,1,30,0,0,106.425,C,0,106.425
0,3,0,?,0,0,14.5,S,0,14.5
1,1,1,22,0,2,49.5,C,2,16.5
1,1,1,36,0,2,71,S,2,23.6666666667
0,3,1,9,4,2,31.275,S,6,4.46785714286
0,3,1,11,4,2,31.275,S,6,4.46785714286
1,2,0,32,1,0,26,S,1,13.0
0,1,0,50,1,0,106.425,C,1,53.2125
0,1,0,64,0,0,26,S,0,26.0
1,2,1,19,1,0,26,S,1,13.0
1,2,0,?,0,0,13.8625,C,0,13.8625
