@relation titanic_predicted

@attribute Passengerid numeric
@attribute predictedclass {0,1}
@attribute class {0,1}
@attribute Pclass numeric
@attribute Sex numeric
@attribute Age numeric
@attribute SibSp numeric
@attribute Parch numeric
@attribute Fare numeric

@data
983,0,?,3,0,?,0,0,7.775
984,1,?,1,1,27,1,2,52
985,0,?,3,0,?,0,0,8.05
986,0,?,1,0,25,0,0,26
987,0,?,3,0,25,0,0,7.7958
988,1,?,1,1,76,1,0,78.85
989,0,?,3,0,29,0,0,7.925
990,0,?,3,1,20,0,0,7.8542
991,0,?,3,0,33,0,0,8.05
992,1,?,1,1,43,1,0,55.4417
993,0,?,2,0,27,1,0,26
994,0,?,3,0,?,0,0,7.75
995,0,?,3,0,26,0,0,7.775
996,0,?,3,1,16,1,1,8.5167
997,0,?,3,0,28,0,0,22.525
998,0,?,3,0,21,0,0,7.8208
999,0,?,3,0,?,0,0,7.75
1000,0,?,3,0,?,0,0,8.7125
1001,0,?,2,0,18.5,0,0,13
1002,0,?,2,0,41,0,0,15.0458
1003,0,?,3,1,?,0,0,7.7792
1004,1,?,1,1,36,0,0,31.6792
1005,1,?,3,1,18.5,0,0,7.2833
1006,1,?,1,1,63,1,0,221.7792
1007,0,?,3,0,18,1,0,14.4542
1008,0,?,3,0,?,0,0,6.4375
1009,1,?,3,1,1,1,1,16.7
1010,0,?,1,0,36,0,0,75.2417
1011,1,?,2,1,29,1,0,26
1012,1,?,2,1,12,0,0,15.75
1013,0,?,3,0,?,1,0,7.75
1014,1,?,1,1,35,1,0,57.75
1015,0,?,3,0,28,0,0,7.25
1016,0,?,3,0,?,0,0,7.75
1017,1,?,3,1,17,0,1,16.1
1018,0,?,3,0,22,0,0,7.7958
1019,1,?,3,1,?,2,0,23.25
1020,0,?,2,0,42,0,0,13
1021,0,?,3,0,24,0,0,8.05
1022,0,?,3,0,32,0,0,8.05
1023,1,?,1,0,53,0,0,28.5
1024,0,?,3,1,?,0,4,25.4667
1025,0,?,3,0,?,1,0,6.4375
1026,0,?,3,0,43,0,0,7.8958
1027,0,?,3,0,24,0,0,7.8542
1028,0,?,3,0,26.5,0,0,7.225
1029,0,?,2,0,26,0,0,13
1030,0,?,3,1,23,0,0,8.05
1031,0,?,3,0,40,1,6,46.9
1032,0,?,3,1,10,5,2,46.9
1033,1,?,1,1,33,0,0,151.55
1034,0,?,1,0,61,1,3,262.375
1035,0,?,2,0,28,0,0,26
1036,1,?,1,0,42,0,0,26.55
1037,0,?,3,0,31,3,0,18
1038,0,?,1,0,?,0,0,51.8625
1039,0,?,3,0,22,0,0,8.05
1040,1,?,1,0,?,0,0,26.55
1041,0,?,2,0,30,1,1,26
1042,1,?,1,1,23,0,1,83.1583
1043,0,?,3,0,?,0,0,7.8958
1044,0,?,3,0,60.5,0,0,?
1045,0,?,3,1,36,0,2,12.1833
1046,0,?,3,0,13,4,2,31.3875
1047,0,?,3,0,24,0,0,7.55
1048,1,?,1,1,29,0,0,221.7792
1049,0,?,3,1,23,0,0,7.8542
1050,1,?,1,0,42,0,0,26.55
1051,1,?,3,1,26,0,2,13.775
1052,1,?,3,1,?,0,0,7.7333
1053,1,?,3,0,7,1,1,15.2458
1054,1,?,2,1,26,0,0,13.5
1055,0,?,3,0,?,0,0,7
1056,0,?,2,0,41,0,0,13
1057,0,?,3,1,26,1,1,22.025
1058,0,?,1,0,48,0,0,50.4958
1059,0,?,3,0,18,2,2,34.375
1060,1,?,1,1,?,0,0,27.7208
1061,0,?,3,1,22,0,0,8.9625
1062,0,?,3,0,?,0,0,7.55
1063,0,?,3,0,27,0,0,7.225
1064,0,?,3,0,23,1,0,13.9
1065,0,?,3,0,?,0,0,7.2292
1066,0,?,3,0,40,1,5,31.3875
1067,1,?,2,1,15,0,2,39
1068,1,?,2,1,20,0,0,36.75
1069,0,?,1,0,54,1,0,55.4417
1070,1,?,2,1,36,0,3,39
1071,1,?,1,1,64,0,2,83.1583
1072,0,?,2,0,30,0,0,13
1073,0,?,1,0,37,1,1,83.1583
1074,1,?,1,1,18,1,0,53.1
1075,0,?,3,0,?,0,0,7.75
1076,1,?,1,1,27,1,1,247.5208
1077,0,?,2,0,40,0,0,16
1078,1,?,2,1,21,0,1,21
1079,0,?,3,0,17,2,0,8.05
1080,0,?,3,1,?,8,2,69.55
1081,0,?,2,0,40,0,0,13
1082,0,?,2,0,34,1,0,26
1083,0,?,1,0,?,0,0,26
1084,1,?,3,0,11.5,1,1,14.5
1085,0,?,2,0,61,0,0,12.35
1086,1,?,2,0,8,0,2,32.5
1087,0,?,3,0,33,0,0,7.8542
1088,1,?,1,0,6,0,2,134.5
1089,0,?,3,1,18,0,0,7.775
1090,0,?,2,0,23,0,0,10.5
1091,0,?,3,1,?,0,0,8.1125
1092,1,?,3,1,?,0,0,15.5
1093,1,?,3,0,0.33,0,2,14.4
1094,0,?,1,0,47,1,0,227.525
1095,1,?,2,1,8,1,1,26
1096,0,?,2,0,25,0,0,10.5
1097,0,?,1,0,?,0,0,25.7417
1098,0,?,3,1,35,0,0,7.75
1099,0,?,2,0,24,0,0,10.5
1100,1,?,1,1,33,0,0,27.7208
1101,0,?,3,0,25,0,0,7.8958
1102,0,?,3,0,32,0,0,22.525
1103,0,?,3,0,?,0,0,7.05
1104,0,?,2,0,17,0,0,73.5
1105,1,?,2,1,60,1,0,26
1106,0,?,3,1,38,4,2,7.775
1107,0,?,1,0,42,0,0,42.5
1108,0,?,3,1,?,0,0,7.8792
1109,0,?,1,0,57,1,1,164.8667
1110,1,?,1,1,50,1,1,211.5
1111,0,?,3,0,?,0,0,8.05
1112,1,?,2,1,30,1,0,13.8583
1113,0,?,3,0,21,0,0,8.05
1114,1,?,2,1,22,0,0,10.5
1115,0,?,3,0,21,0,0,7.7958
1116,1,?,1,1,53,0,0,27.4458
1117,1,?,3,1,?,0,2,15.2458
1118,0,?,3,0,23,0,0,7.7958
1119,0,?,3,1,?,0,0,7.75
1120,0,?,3,0,40.5,0,0,15.1
1121,0,?,2,0,36,0,0,13
1122,0,?,2,0,14,0,0,65
1123,1,?,1,1,21,0,0,26.55
1124,0,?,3,0,21,1,0,6.4958
1125,0,?,3,0,?,0,0,7.8792
1126,0,?,1,0,39,1,0,71.2833
1127,0,?,3,0,20,0,0,7.8542
1128,0,?,1,0,64,1,0,75.25
1129,0,?,3,0,20,0,0,7.225
1130,1,?,2,1,18,1,1,13
1131,1,?,1,1,48,1,0,106.425
1132,1,?,1,1,55,0,0,27.7208
1133,1,?,2,1,45,0,2,30
1134,0,?,1,0,45,1,1,134.5
1135,0,?,3,0,?,0,0,7.8875
1136,0,?,3,0,?,1,2,23.45
1137,0,?,1,0,41,1,0,51.8625
1138,1,?,2,1,22,0,0,21
1139,0,?,2,0,42,1,1,32.5
1140,1,?,2,1,29,1,0,26
1141,0,?,3,1,?,1,0,14.4542
1142,1,?,2,1,0.92,1,2,27.75
1143,0,?,3,0,20,0,0,7.925
1144,0,?,1,0,27,1,0,136.7792
1145,0,?,3,0,24,0,0,9.325
1146,0,?,3,0,32.5,0,0,9.5
1147,0,?,3,0,?,0,0,7.55
1148,0,?,3,0,?,0,0,7.75
1149,0,?,3,0,28,0,0,8.05
1150,1,?,2,1,19,0,0,13
1151,0,?,3,0,21,0,0,7.775
1152,0,?,3,0,36.5,1,0,17.4
1153,0,?,3,0,21,0,0,7.8542
1154,1,?,2,1,29,0,2,23
1155,1,?,3,1,1,1,1,12.1833
1156,0,?,2,0,30,0,0,12.7375
1157,0,?,3,0,?,0,0,7.8958
1158,0,?,1,0,?,0,0,0
1159,0,?,3,0,?,0,0,7.55
1160,0,?,3,1,?,0,0,8.05
1161,0,?,3,0,17,0,0,8.6625
1162,0,?,1,0,46,0,0,75.2417
1163,0,?,3,0,?,0,0,7.75
1164,1,?,1,1,26,1,0,136.7792
1165,0,?,3,1,?,1,0,15.5
1166,0,?,3,0,?,0,0,7.225
1167,1,?,2,1,20,1,0,26
1168,0,?,2,0,28,0,0,10.5
1169,0,?,2,0,40,1,0,26
1170,0,?,2,0,30,1,0,21
1171,0,?,2,0,22,0,0,10.5
1172,0,?,3,1,23,0,0,8.6625
1173,1,?,3,0,0.75,1,1,13.775
1174,0,?,3,1,?,0,0,7.75
1175,0,?,3,1,9,1,1,15.2458
1176,1,?,3,1,2,1,1,20.2125
1177,0,?,3,0,36,0,0,7.25
1178,0,?,3,0,?,0,0,7.25
1179,0,?,1,0,24,1,0,82.2667
1180,0,?,3,0,?,0,0,7.2292
1181,0,?,3,0,?,0,0,8.05
1182,0,?,1,0,?,0,0,39.6
1183,1,?,3,1,30,0,0,6.95
1184,0,?,3,0,?,0,0,7.2292
1185,0,?,1,0,53,1,1,81.8583
1186,0,?,3,0,36,0,0,9.5
1187,0,?,3,0,26,0,0,7.8958
1188,1,?,2,1,1,1,2,41.5792
1189,0,?,3,0,?,2,0,21.6792
1190,0,?,1,0,30,0,0,45.5
1191,0,?,3,0,29,0,0,7.8542
1192,0,?,3,0,32,0,0,7.775
1193,0,?,2,0,?,0,0,15.0458
1194,0,?,2,0,43,0,1,21
1195,0,?,3,0,24,0,0,8.6625
1196,0,?,3,1,?,0,0,7.75
1197,1,?,1,1,64,1,1,26.55
1198,1,?,1,0,30,1,2,151.55
1199,1,?,3,0,0.83,0,1,9.35
1200,0,?,1,0,55,1,1,93.5
1201,0,?,3,1,45,1,0,14.1083
1202,0,?,3,0,18,0,0,8.6625
1203,0,?,3,0,22,0,0,7.225
1204,0,?,3,0,?,0,0,7.575
1205,0,?,3,1,37,0,0,7.75
1206,1,?,1,1,55,0,0,135.6333
1207,1,?,3,1,17,0,0,7.7333
1208,0,?,1,0,57,1,0,146.5208
1209,0,?,2,0,19,0,0,10.5
1210,0,?,3,0,27,0,0,7.8542
1211,0,?,2,0,22,2,0,31.5
1212,0,?,3,0,26,0,0,7.775
1213,0,?,3,0,25,0,0,7.2292
1214,0,?,2,0,26,0,0,13
1215,1,?,1,0,33,0,0,26.55
1216,1,?,1,1,39,0,0,211.3375
1217,0,?,3,0,23,0,0,7.05
1218,1,?,2,1,12,2,1,39
1219,0,?,1,0,46,0,0,79.2
1220,0,?,2,0,29,1,0,26
1221,0,?,2,0,21,0,0,13
1222,1,?,2,1,48,0,2,36.75
1223,1,?,1,0,39,0,0,29.7
1224,0,?,3,0,?,0,0,7.225
1225,0,?,3,1,19,1,1,15.7417
1226,0,?,3,0,27,0,0,7.8958
1227,0,?,1,0,30,0,0,26
1228,0,?,2,0,32,0,0,13
1229,0,?,3,0,39,0,2,7.2292
1230,0,?,2,0,25,0,0,31.5
1231,0,?,3,0,?,0,0,7.2292
1232,0,?,2,0,18,0,0,10.5
1233,0,?,3,0,32,0,0,7.5792
1234,0,?,3,0,?,1,9,69.55
1235,1,?,1,1,58,0,1,512.3292
1236,0,?,3,0,?,1,1,14.5
1237,1,?,3,1,16,0,0,7.65
1238,0,?,2,0,26,0,0,13
1239,1,?,3,1,38,0,0,7.2292
1240,0,?,2,0,24,0,0,13.5
1241,1,?,2,1,31,0,0,21
1242,1,?,1,1,45,0,1,63.3583
1243,0,?,2,0,25,0,0,10.5
1244,0,?,2,0,18,0,0,73.5
1245,0,?,2,0,49,1,2,65
1246,1,?,3,1,0.17,1,2,20.575
1247,0,?,1,0,50,0,0,26
1248,1,?,1,1,59,2,0,51.4792
1249,0,?,3,0,?,0,0,7.8792
1250,0,?,3,0,?,0,0,7.75
1251,0,?,3,1,30,1,0,15.55
1252,0,?,3,0,14.5,8,2,69.55
1253,1,?,2,1,24,1,1,37.0042
1254,1,?,2,1,31,0,0,21
1255,0,?,3,0,27,0,0,8.6625
1256,1,?,1,1,25,1,0,55.4417
1257,0,?,3,1,?,1,9,69.55
1258,0,?,3,0,?,1,0,14.4583
1259,0,?,3,1,22,0,0,39.6875
1260,1,?,1,1,45,0,1,59.4
1261,0,?,2,0,29,0,0,13.8583
1262,0,?,2,0,21,1,0,11.5
1263,1,?,1,1,31,0,0,134.5
1264,0,?,1,0,49,0,0,0
1265,0,?,2,0,44,0,0,13
1266,1,?,1,1,54,1,1,81.8583
1267,1,?,1,1,45,0,0,262.375
1268,0,?,3,1,22,2,0,8.6625
1269,0,?,2,0,21,0,0,11.5
1270,0,?,1,0,55,0,0,50
1271,0,?,3,0,5,4,2,31.3875
1272,0,?,3,0,?,0,0,7.75
1273,0,?,3,0,26,0,0,7.8792
1274,0,?,3,1,?,0,0,14.5
1275,0,?,3,1,19,1,0,16.1
1276,0,?,2,0,?,0,0,12.875
1277,1,?,2,1,24,1,2,65
1278,0,?,3,0,24,0,0,7.775
1279,0,?,2,0,57,0,0,13
1280,0,?,3,0,21,0,0,7.75
1281,0,?,3,0,6,3,1,21.075
1282,0,?,1,0,23,0,0,93.5
1283,1,?,1,1,51,0,1,39.4
1284,0,?,3,0,13,0,2,20.25
1285,0,?,2,0,47,0,0,10.5
1286,0,?,3,0,29,3,1,22.025
1287,1,?,1,1,18,1,0,60
1288,0,?,3,0,24,0,0,7.25
1289,1,?,1,1,48,1,1,79.2
1290,0,?,3,0,22,0,0,7.775
1291,0,?,3,0,31,0,0,7.7333
1292,1,?,1,1,30,0,0,164.8667
1293,0,?,2,0,38,1,0,21
1294,1,?,1,1,22,0,1,59.4
1295,0,?,1,0,17,0,0,47.1
1296,1,?,1,0,43,1,0,27.7208
1297,0,?,2,0,20,0,0,13.8625
1298,0,?,2,0,23,1,0,10.5
1299,0,?,1,0,50,1,1,211.5
1300,1,?,3,1,?,0,0,7.7208
1301,0,?,3,1,3,1,1,13.775
1302,0,?,3,1,?,0,0,7.75
1303,1,?,1,1,37,1,0,90
1304,0,?,3,1,28,0,0,7.775
1305,0,?,3,0,?,0,0,8.05
1306,1,?,1,1,39,0,0,108.9
1307,0,?,3,0,38.5,0,0,7.25
1308,0,?,3,0,?,0,0,8.05
1309,0,?,3,0,?,1,1,22.3583
